course_id,plan_seq_no,plan_date,schedule_seq_no,gubun,place_id,post_id,spot_id,state,sort_order,city_cd
COURSE00000000000157,1,2020-10-23,1,PLACE,PLACE000000000000119,,NULL,S,1,JJ
COURSE00000000000154,4,2020-10-29,4,PLACE,PLACE000000000000400,,NULL,S,4,JJ
COURSE00000000000154,4,2020-10-29,3,PLACE,PLACE000000000000767,,NULL,S,3,JJ
COURSE00000000000154,4,2020-10-29,2,PLACE,PLACE000000000000032,,NULL,S,2,JJ
COURSE00000000000154,4,2020-10-29,1,POST,PLACE000000000000017,POST0000000000000036,NULL,S,1,JJ
COURSE00000000000154,3,2020-10-28,2,PLACE,PLACE000000000000384,,NULL,S,2,JJ
COURSE00000000000154,3,2020-10-28,1,POST,PLACE000000000000611,POST0000000000000017,NULL,S,1,JJ
COURSE00000000000154,2,2020-10-27,3,PLACE,PLACE000000000000589,,NULL,S,3,JJ
COURSE00000000000154,2,2020-10-27,2,PLACE,PLACE000000000000744,,NULL,S,2,JJ
COURSE00000000000154,2,2020-10-27,1,POST,PLACE000000000000374,POST0000000000000014,NULL,S,1,JJ
COURSE00000000000154,1,2020-10-26,4,PLACE,PLACE000000000000419,,NULL,S,4,JJ
COURSE00000000000154,1,2020-10-26,3,PLACE,PLACE000000000000781,,NULL,S,3,JJ
COURSE00000000000154,1,2020-10-26,2,PLACE,PLACE000000000000401,,NULL,S,2,JJ
COURSE00000000000153,4,2020-11-13,2,PLACE,PLACE000000000000094,,NULL,S,2,JJ
COURSE00000000000153,4,2020-11-13,1,PLACE,PLACE000000000000396,,NULL,S,1,JJ
COURSE00000000000153,3,2020-11-12,3,PLACE,PLACE000000000000550,,NULL,S,3,JJ
COURSE00000000000153,3,2020-11-12,2,POST,PLACE000000000000718,POST0000000000000125,NULL,S,2,JJ
COURSE00000000000153,3,2020-11-12,1,PLACE,PLACE000000000000746,,NULL,S,1,JJ
COURSE00000000000153,2,2020-11-11,3,PLACE,PLACE000000000000733,,NULL,S,3,JJ
COURSE00000000000153,2,2020-11-11,2,PLACE,PLACE000000000000119,,NULL,S,2,JJ
COURSE00000000000153,2,2020-11-11,1,PLACE,PLACE000000000000034,,NULL,S,1,JJ
COURSE00000000000153,1,2020-11-10,3,POST,PLACE000000000000465,POST0000000000000108,NULL,S,3,JJ
COURSE00000000000153,1,2020-11-10,2,PLACE,PLACE000000000000775,,NULL,S,2,JJ
COURSE00000000000153,1,2020-11-10,1,PLACE,PLACE000000000000757,,NULL,S,1,JJ
COURSE00000000000829,4,2023-02-07,1,PLACE,PLACE000000000001331,NULL,NULL,S,1,JJ
COURSE00000000000829,4,2023-02-07,2,POST,PLACE000000000001329,POST0000000000001067,NULL,S,2,JJ
COURSE00000000000829,4,2023-02-07,3,POST,PLACE000000000001330,POST0000000000001047,NULL,S,3,JJ
COURSE00000000000829,4,2023-02-07,4,POST,PLACE000000000001324,POST0000000000001044,NULL,S,4,JJ
COURSE00000000000829,5,2023-02-08,1,POST,PLACE000000000001300,POST0000000000001020,NULL,S,1,JJ
COURSE00000000000830,2,2023-01-02,2,POST,PLACE000000000001325,POST0000000000001045,NULL,S,1,JJ
COURSE00000000000830,2,2023-01-02,3,POST,PLACE000000000001321,POST0000000000001041,NULL,S,3,JJ
COURSE00000000000830,3,2023-01-03,1,POST,PLACE000000000001319,POST0000000000001039,NULL,S,1,JJ
COURSE00000000000830,3,2023-01-03,2,POST,PLACE000000000001318,POST0000000000001038,NULL,S,2,JJ
COURSE00000000000830,3,2023-01-03,3,PLACE,PLACE000000000001323,NULL,NULL,S,3,JJ
COURSE00000000000830,4,2023-01-04,1,POST,PLACE000000000001322,POST0000000000001043,NULL,S,1,JJ
COURSE00000000000830,5,2023-01-05,1,POST,PLACE000000000001316,POST0000000000001036,NULL,S,1,JJ
COURSE00000000000830,5,2023-01-05,2,POST,PLACE000000000001317,POST0000000000001037,NULL,S,2,JJ
