customer_id,question,day,create_dt
CUSTOMER000000024452,중문,2,2024-02-09 00:32:50.433
CUSTOMER000000024455,아이들,4,2024-02-09 01:33:21.755
CUSTOMER000000024456,아이들,4,2024-02-09 02:32:18.408
CUSTOMER000000024457,부모님과 여행,4,2024-02-09 07:27:44.177
CUSTOMER000000024455,,3,2024-02-09 10:56:27.956
CUSTOMER000000024455,,3,2024-02-09 10:56:58.837
CUSTOMER000000024461,,5,2024-02-09 14:08:03.233
CUSTOMER000000024462,6월 여행,4,2024-02-09 16:18:19.507
CUSTOMER000000024464,뚜,9,2024-02-09 19:30:41.78
CUSTOMER000000024467,아기,4,2024-02-10 01:42:22.835
CUSTOMER000000024468,넘친이랑 갈곳,2,2024-02-10 08:48:18.363
CUSTOMER000000024468,서쪽이랑 남쪽 남친이랑 갈곳,2,2024-02-10 08:51:11.109
CUSTOMER000000024476,,3,2024-02-10 18:57:04.388
CUSTOMER000000024476,가,3,2024-02-10 18:59:23.383
CUSTOMER000000024481,아이랑,4,2024-02-11 09:18:12.661
CUSTOMER000000024483,,3,2024-02-11 11:13:28.789
CUSTOMER000000023823,,5,2024-02-11 19:36:44.59
CUSTOMER000000024492,뚜벅이,3,2024-02-11 21:13:16.118
CUSTOMER000000024492,뚜벅이 애월,3,2024-02-11 21:13:36.549
CUSTOMER000000024492,뚜벅이 애월, 한림,3,2024-02-11 21:13:54.203
CUSTOMER000000024498,아이와 함께 갈 수 있는,3,2024-02-12 03:09:37.954
CUSTOMER000000024500,아이와 함께하는,4,2024-02-12 08:36:41.083
CUSTOMER000000024502,벚꽃 볼 수 있는,4,2024-02-12 11:10:03.844
CUSTOMER000000024504,혼자여행,4,2024-02-12 14:28:08.283
CUSTOMER000000024505,,3,2024-02-12 17:10:47.315
CUSTOMER000000024507,,4,2024-02-12 19:24:25.523
CUSTOMER000000024508,할머니, 엄마, 이모, 오빠와 함께할 수 있는,4,2024-02-12 20:57:13.734
CUSTOMER000000024509,배 낚시,4,2024-02-12 21:04:00.135
CUSTOMER000000024509,야구,4,2024-02-12 21:05:30.78
CUSTOMER000000024509,맛집,4,2024-02-12 21:10:44.047
CUSTOMER000000024510,아이 여행일정 알려줘,4,2024-02-12 22:15:57.908
CUSTOMER000000024510, 조천에서 아이와 함께하는 여행일정 알려줘,2,2024-02-12 22:17:03.841
CUSTOMER000000024511,,5,2024-02-12 22:20:48.881
CUSTOMER000000024510,비오는 날 조천에서 아이와 함께하는 여행일정 알려줘,2,2024-02-12 22:22:45.236
CUSTOMER000000024514,1인여행,4,2024-02-13 07:55:54.848
CUSTOMER000000024515,부모님과 함께,3,2024-02-13 10:30:45.073
CUSTOMER000000024517,,5,2024-02-13 12:30:35.772
CUSTOMER000000024520,,4,2024-02-13 17:34:20.214
CUSTOMER000000024520,아이와 함께하는,3,2024-02-13 17:34:37.659
CUSTOMER000000024523,아이랑 함께 ,4,2024-02-13 21:07:56.914
CUSTOMER000000024523,장애아이랑 함께 ,4,2024-02-13 21:10:27.597
CUSTOMER000000024523,실내에서 놀 수 있는,4,2024-02-13 21:11:57.745
